Gene	chrom	start	end
RBP2	3	139172258	139193057
RBP1	3	139236275	139258041
NMNAT3	3	139279617	139395829
CLSTN2	3	139656195	140286661
TRIM42	3	140398125	140419942
SLC25A36	3	140661826	140697223
SPSB4	3	140772392	140867443
ACPL2	3	140951719	141013379
ZBTB38	3	141044556	141166327
RASA2	3	141207444	141330697
RNF7	3	141459467	141464811
GRK7	3	141500431	141534305
ATP1B3	3	141596508	141644348
TFDP2	3	141663889	141867748
GK5	3	141876691	141943434
XRN1	3	142025448	142166810
ATR	3	142169175	142296282
PLS1	3	142315564	142431228
TRPC1	3	142444296	142526595
PCOLCE2	3	142536785	142607981
PAQR9	3	142680239	142680297
U2SURP	3	142720498	142779437
CHST2	3	142840205	142841337
SLC9A9	3	142984397	143567094
C3orf58	3	143693195	143710749
PLOD2	3	145789158	145877574
PLSCR4	3	145911836	145968081
PLSCR2	3	146151230	146213605
PLSCR1	3	146233522	146261184
PLSCR5	3	146305030	146323213
ZIC4	3	147104511	147123277
ZIC1	3	147127496	147132225
AGTR1	3	148417657	148459663
CPB1	3	148546359	148577961
CPA3	3	148584843	148612887
GYG1	3	148710275	148744352
HLTF	3	148748691	148802554
HPS3	3	148848972	148889202
CP	3	148891484	148939479
TM4SF18	3	149037596	149050919
TM4SF1	3	149087228	149095057
TM4SF4	3	149192517	149220917
WWTR1	3	149235343	149420062
COMMD2	3	149456573	149470250
C3orf16	3	149478898	149509460
RNF13	3	149531279	149678511
PFN2	3	149682888	149686639
LOC646903	3	149689987	149690046
TSC22D2	3	150127673	150176319
SERP1	3	150260736	150263254
EIF2A	3	150264990	150302747
SELT	3	150322188	150345278
FAM194A	3	150377750	150419701
SIAH2	3	150458897	150478495
CLRN1	3	150644290	150690789
CLRN1OS	3	150692924	150797216
MED12L	3	150805381	151151835
IGSF10	3	151154892	151175038
MIR548H2	3	151348923	151539529
AADAC	3	151542511	151544540
SUCNR1	3	151592388	151599643
LOC401093	3	151981041	151986912
MBNL1	3	151988333	152182566
P2RY1	3	152553107	152555577
RAP2B	3	152881655	152885802
C3orf79	3	153205196	153218994
LOC100507524	3	153743743	153837044
ARHGEF26	3	153839702	153973631
DHX36	3	153994569	154041341
GPR149	3	154058872	154146132
MME	3	154798468	154900223
LOC100507537	3	155010056	155010115
PLCH1	3	155198502	155421212
C3orf33	3	155481191	155522172
SLC33A1	3	155544722	155571357
GMPS	3	155590443	155654142
KCNAB1	3	155838334	156255700
SSR3	3	156259146	156271838
LOC100287227	3	156391045	156393076
TIPARP	3	156394470	156424449
PA2G4P4	3	156528709	156528768
LEKR1	3	156545581	156763879
LOC339894	3	156802415	156837854
CCNL1	3	156865944	156876768
VEPH1	3	156978335	157221109
C3orf55	3	157261320	157318908
SHOX2	3	157814241	157822697
RSRC1	3	157829991	158262557
MLF1	3	158289076	158323134
GFM1	3	158363497	158409334
RARRES1	3	158414913	158449084
MFSD1	3	158520384	158546836
IQCJ	3	158789617	158983495
IQCJ-SCHIP1	3	158984581	159614971
IL12A	3	159707782	159712819
LOC401097	3	159944320	159944369
IFT80	3	159974924	160117206
SMC4	3	160117779	160152207
TRIM59	3	160153525	160165696
KPNA4	3	160220490	160281676
ARL14	3	160395867	160395926
PPM1L	3	160474795	160788846
B3GALNT1	3	160801951	160821914
NMD3	3	160939574	160968168
C3orf57	3	161063956	161089430
OTOL1	3	161215549	161220546
LOC647107	3	162895756	163020555
SI	3	164696722	164794352
SLITRK3	3	164905512	164912274
BCHE	3	165491177	165553699
ZBBX	3	166958446	167094983
SERPINI2	3	167159761	167189506
WDR49	3	167198921	167367901
PDCD10	3	167402560	167452058
SERPINI1	3	167454958	167540820
LOC646168	3	167613932	167639890
GOLIM4	3	167728694	167812501
EGFEM1P	3	167971370	168548075
MECOM	3	168802607	169378201
ARPM1	3	169485061	169487634
MYNN	3	169491909	169506384
LRRC34	3	169511243	169529227
LRRIQ4	3	169539845	169555269
LRRC31	3	169557129	169587670
SAMD7	3	169629560	169656271
LOC100128164	3	169663543	169683770
SEC62	3	169685517	169714937
GPR160	3	169757011	169803147
PHC3	3	169805721	169898575
PRKCI	3	169941317	170022332
SKIL	3	170076897	170110344
CLDN11	3	170138295	170151742
SLC7A14	3	170178422	170302194
RPL22L1	3	170583010	170585480
EIF5A2	3	170608490	170625086
SLC2A2	3	170715214	170744436
TNIK	3	170780279	171176886
PLD1	3	171319138	171527032
TMEM212	3	171561436	171571903
FNDC3B	3	171759888	172118164
GHSR	3	172161682	172164742
TNFSF10	3	172224421	172241275
NCEH1	3	172350612	172427844
ECT2	3	172472365	172538403
SPATA16	3	172608475	172856524
NLGN1	3	173116498	174001047
NAALADL2	3	174579017	175523348
TBL1XR1	3	176738530	176913885
KCNMB2	3	178254499	178560818
ZMAT3	3	178737110	178787476
PIK3CA	3	178867745	178951907
KCNMB3	3	178962671	178983225
ZNF639	3	179041961	179052660
MFN1	3	179066194	179110592
GNB4	3	179114036	179167043
ACTL6A	3	179282238	179304593
MRPL47	3	179306268	179322006
NDUFB5	3	179324758	179341716
USP13	3	179372344	179505863
PEX5L	3	179519313	179753977
TTC14	3	180320911	180328414
CCDC39	3	180332422	180396582
FXR1	3	180631203	180700188
DNAJC19	3	180703686	180704940
SOX2OT	3	181330906	181456729
ATP11B	3	182512649	182638274
DCUN1D1	3	182663745	182697006
MCCC1	3	182734964	182816647
LAMP3	3	182840318	182880036
MCF2L2	3	182898418	183145846
KLHL6	3	183207428	183271852
KLHL24	3	183355323	183401148
YEATS2	3	183416626	183530362
MAP6D1	3	183534459	183541661
PARL	3	183548681	183601737
ABCC5	3	183638806	183733894
HTR3D	3	183750100	183757186
HTR3C	3	183772023	183778261
HTR3E	3	183819288	183824749
EIF2B5	3	183854590	183863118
DVL3	3	183874410	183890116
AP2M1	3	183893743	183900921
ABCF3	3	183904036	183911116
VWA5B2	3	183948804	183960106
ALG3	3	183960109	183967192
ECE2	3	183968353	184010753
PSMD2	3	184018414	184025131
EIF4G1	3	184034176	184051607
FAM131A	3	184054468	184064014
CLCN2	3	184064729	184078498
POLR2H	3	184083081	184084602
THPO	3	184090591	184094233
CHRD	3	184100487	184107620
EPHB3	3	184281198	184300222
MAGEF1	3	184428168	184428227
VPS8	3	184531333	184770366
C3orf70	3	184796233	184869124
EHHADH	3	184908629	184970908
MAP3K13	3	185081106	185199378
TMEM41A	3	185207406	185216190
LIPH	3	185225985	185270236
SENP2	3	185304571	185348867
IGF2BP2	3	185364215	185541898
TRA2B	3	185633323	185655471
LOC344887	3	185686822	185695671
ETV5	3	185766040	185825214
DGKG	3	185865271	186079063
LOC253573	3	186173958	186210120
CRYGS	3	186256207	186262139
TBCCD1	3	186264984	186287845
DNAJB11	3	186289823	186303413
AHSG	3	186332685	186338296
FETUB	3	186360548	186370728
HRG	3	186386711	186394793
KNG1	3	186437772	186461709
EIF4A2	3	186502485	186506900
RFC4	3	186507818	186523877
ADIPOQ	3	186561548	186575466
ST6GAL1	3	186649631	186796096
RPL39L	3	186838766	186855872
RTP1	3	186916940	186918325
MASP1	3	186934909	187007355
RTP4	3	187086869	187089270
SST	3	187387375	187387434
RTP2	3	187418364	187418423
LOC100131635	3	187420672	187449728
BCL6	3	187450633	187462369
LOC339929	3	187870164	187870223
LPP	3	187873163	188607665
TPRG1	3	188890913	189039820
TP63	3	189349272	189614220
LEPREL1	3	189675557	189839004
CLDN1	3	190024223	190039273
CLDN16	3	190107810	190129498
TMEM207	3	190147187	190167630
IL1RAP	3	190233373	190372728
GEMC1	3	190571409	190579840
OSTN	3	190932386	190966937
UTS2D	3	190985080	191048043
CCDC50	3	191049515	191116230
FGF12	3	191858332	192444111
MB21D2	3	192515478	192633769
HRASLS	3	192961239	192988549
ATP13A5	3	192993988	193096147
ATP13A4	3	193120011	193271980
OPA1	3	193312837	193413976
LOC647323	3	193676496	193720426
HES1	3	193854012	193854071
LOC100131551	3	194019224	194028789
CPN2	3	194061307	194069742
LRRC15	3	194076537	194090035
GP5	3	194115999	194119246
ATP13A3	3	194124572	194187819
FLJ34208	3	194208912	194208971
TMEM44	3	194309533	194353695
LSG1	3	194362802	194393192
FAM43A	3	194409422	194409481
LOC100507391	3	194429903	194501433
C3orf21	3	194789198	194990833
ACAP2	3	194996183	195162133
PPP1R2	3	195242532	195268512
APOD	3	195295820	195310393
MUC20	3	195454454	195464483
MUC4	3	195475567	195536226
TNK2	3	195591215	195635180
TFRC	3	195777965	195807621
LOC401109	3	195869584	195887269
ZDHHC19	3	195924314	195935656
OSTalpha	3	195944719	195960269
PCYT1A	3	195966664	196014487
TCTEX1D2	3	196018070	196042994
TM4SF19-TCTEX1D2	3	196046634	196064970
UBXN7	3	196081610	196157719
RNF168	3	196196705	196230093
C3orf43	3	196234381	196241993
WDR53	3	196282049	196294044
FBXO45	3	196297077	196315737
LRRC33	3	196367219	196387838
C3orf34	3	196433524	196437907
PIGX	3	196440492	196462510
PAK2	3	196468474	196558343
SENP5	3	196595902	196661138
NCBP2	3	196663687	196669257
LOC152217	3	196670373	196670432
PIGZ	3	196673227	196694707
MFI2	3	196728636	196755460
DLG1	3	196769596	197023273
BDH1	3	197236689	197299811
KIAA0226	3	197398754	197475557
FYTTD1	3	197478112	197511029
LRCH3	3	197519208	197597121
IQCG	3	197616048	197686671
LMLN	3	197688228	197769619
LOC348840	3	197786427	197806989
ZNF595	4	56828	88102
ZNF718	4	91744	156161
ZNF876P	4	209922	247702
ZNF732	4	265989	289761
ZNF141	4	335150	366798
ABCA11P	4	419690	466798
ZNF721	4	468044	493423
PIGG	4	496627	532072
PDE6B	4	620486	664410
ATP5I	4	667173	667224
MYL5	4	672492	673721
MFSD7	4	679607	681793
PCGF3	4	699619	764342
LOC100129917	4	774508	774564
CPLX1	4	778747	818327
GAK	4	843260	924633
TMEM175	4	927780	952465
DGKQ	4	952874	964571
SLC26A1	4	973449	985753
IDUA	4	987238	997900
FGFRL1	4	1006764	1020695
RNF212	4	1066556	1106297
TMED11P	4	1109642	1116851
SPON2	4	1160729	1201560
CTBP1	4	1205546	1240697
C4orf42	4	1244530	1245793
MAEA	4	1284332	1332898
KIAA1530	4	1341466	1380197
CRIPAK	4	1389562	1389621
FAM53A	4	1643326	1685128
SLBP	4	1695715	1710398
TMEM129	4	1717717	1720579
TACC3	4	1724417	1746887
FGFR3	4	1797219	1809962
LETM1	4	1814743	1856951
WHSC1	4	1874012	1983588
WHSC2	4	1984509	2009643
NAT8L	4	2065933	2069821
POLN	4	2075412	2230626
HAUS3	4	2232048	2242702
MXD4	4	2251952	2258799
ZFYVE28	4	2271456	2420048
LOC402160	4	2421284	2462812
RNF4	4	2472153	2514796
FAM193A	4	2627306	2733563
TNIP2	4	2743427	2756071
SH3BP2	4	2798204	2839659
ADD1	4	2846581	2930738
MFSD10	4	2932318	2932370
C4orf10	4	2937441	2951307
NOP14	4	2952884	2963494
GRK4	4	2966382	3041882
HTT	4	3077460	3245635
C4orf44	4	3250806	3258043
RGS12	4	3318104	3441256
HGFAC	4	3449601	3449645
DOK7	4	3467322	3496232
LRPAP1	4	3514284	3533073
LOC100133461	4	3677406	3677450
ADRA2C	4	3770144	3770203
OTOP1	4	4194819	4220773
TMEM128	4	4238894	4249312
LYAR	4	4270482	4289996
ZBTB49	4	4293227	4321993
D4S234E	4	4390098	4420517
STX18	4	4421980	4542532
LOC100507266	4	4544394	4711263
MSX1	4	4862853	4865416
CYTL1	4	5016738	5019832
STK32B	4	5055180	5502145
C4orf6	4	5528054	5528113
EVC2	4	5564459	5709046
EVC	4	5714509	5816047
CRMP1	4	5823087	5893207
JAKMIP1	4	6028070	6202174
LOC285484	4	6204406	6234103
WFS1	4	6272467	6303865
PPP2R2C	4	6323623	6473550
MAN2B2	4	6578583	6623217
MRFAP1	4	6642469	6642528
LOC93622	4	6676449	6676508
S100P	4	6697278	6698658
MRFAP1L1	4	6711545	6711590
CNO	4	6718630	6718689
KIAA0232	4	6786239	6884571
TBC1D14	4	6911946	7032560
LOC100129931	4	7034894	7046802
TADA2B	4	7049746	7059597
GRPEL1	4	7062512	7068717
FLJ36777	4	7099195	7104744
SORCS2	4	7197630	7744506
AFAP1-AS1	4	7757007	7779403
AFAP1	4	7780693	7939045
ABLIM2	4	7967759	8159041
SH3TC1	4	8201192	8242837
HTRA3	4	8272482	8308839
ACOX3	4	8368121	8442139
METTL19	4	8445418	8478272
GPR78	4	8585913	8588041
CPZ	4	8595691	8621492
HMX1	4	8868756	8871885
SLC2A9	4	9829027	10040853
WDR1	4	10076387	10116757
ZNF518B	4	10442653	10457310
CLNK	4	10492190	10685854
HS3ST1	4	11400736	11428495
HSP90AB2P	4	13335478	13337921
RAB28	4	13369890	13484646
LOC285547	4	13530028	13532081
NKX3-2	4	13542775	13544532
BOD1L	4	13570530	13628601
LOC152742	4	14118621	14140992
CPEB2	4	15007216	15071084
C1QTNF7	4	15341634	15446927
CC2D2A	4	15472209	15601050
FBXL5	4	15606517	15655711
FAM200B	4	15685478	15687497
BST1	4	15706596	15733363
CD38	4	15780793	15850650
FGFBP1	4	15937168	15939495
FGFBP2	4	15961915	15963171
PROM1	4	15970441	16083596
TAPT1	4	16162515	16226896
FLJ39653	4	16230695	16255725
LDB2	4	16503476	16899679
QDPR	4	17488306	17512153
CLRN2	4	17517955	17527847
LAP3	4	17579689	17607920
MED28	4	17616821	17625188
FAM184B	4	17635140	17782164
DCAF16	4	17802671	17811029
NCAPG	4	17813845	17845156
LCORL	4	17847109	18022339
SLIT2	4	20257233	20620707
PACRGL	4	20703170	20728815
KCNIP4	4	20731316	21949055
LOC100505912	4	22330304	22336465
GPR125	4	22389194	22516024
GBA3	4	22695082	22820646
PPARGC1A	4	23794639	23890041
MIR573	4	24521837	24521896
DHX15	4	24529286	24584688
SOD3	4	24798376	24800316
CCDC149	4	24808627	24981698
LGI2	4	25000448	25030497
SEPSECS	4	25122048	25160831
LOC285540	4	25163416	25200019
PI4K2B	4	25236287	25279373
ZCCHC4	4	25315579	25371815
ANAPC4	4	25379453	25420099
SLC34A2	4	25657740	25680389
SEL1L3	4	25749384	25863256
C4orf52	4	25916870	25931378
RBPJ	4	26322175	26432263
CCKAR	4	26483012	26491333
TBC1D19	4	26586392	26756765
STIM2	4	26863762	27026779
PCDH7	4	30722783	31147441
ARAP2	4	36067764	36244614
DTHD1	4	36284253	36347226
KIAA1239	4	37248996	37449990
C4orf19	4	37455978	37594757
RELL1	4	37596272	37687100
PGM2	4	37830593	37863410
TBC1D1	4	37894048	38140004
FLJ13197	4	38614417	38664142
KLF3	4	38667203	38701987
TLR10	4	38775203	38783250
TLR1	4	38798007	38805351
TLR6	4	38826824	38858154
FAM114A1	4	38870630	38946651
TMEM156	4	38968751	39033925
KLHL5	4	39047303	39127674
WDR19	4	39185215	39286353
RFC1	4	39289978	39367308
KLB	4	39408603	39453054
RPL9	4	39455997	39459415
LIAS	4	39461278	39478764
UGDH	4	39501750	39528135
C4orf34	4	39552971	39639111
UBE2K	4	39701733	39782465
PDS5A	4	39825520	39977453
LOC344967	4	40045950	40057125
N4BP2	4	40059950	40156329
RHOH	4	40198848	40246087
CHRNA9	4	40337845	40356609
RBM47	4	40426792	40631406
NSUN7	4	40753577	40811035
APBB2	4	40812882	41215336
UCHL1	4	41261127	41270376
LIMCH1	4	41364303	41701899
PHOX2B	4	41746504	41751002
TMEM33	4	41938102	41962388
DCAF4L1	4	41983738	41986923
SLC30A9	4	41993460	42088613
BEND4	4	42114947	42152558
SHISA3	4	42400816	42402725
ATP8A1	4	42410560	42657529
GRXCR1	4	42895853	43031670
KCTD8	4	44176650	44448722
YIPF7	4	44624846	44652107
GUF1	4	44681257	44701976
GNPDA2	4	44705614	44727711
GABRG1	4	46038036	46125864
GABRA2	4	46252323	46390832
COX7B2	4	46736898	46911136
GABRA4	4	46921825	46994955
GABRB1	4	47035091	47428178
COMMD8	4	47452793	47463550
ATP10D	4	47487918	47594306
CORIN	4	47596624	47840019
NFXL1	4	47849439	47915169
CNGA1	4	47939711	47998730
NIPAL1	4	48020454	48038424
TXK	4	48071643	48135531
TEC	4	48138507	48270932
SLAIN2	4	48345440	48427189
SLC10A4	4	48487976	48491215
ZAR1	4	48494488	48496399
FRYL	4	48500122	48780619
OCIAD1	4	48834257	48863090
OCIAD2	4	48887557	48907733
CWH43	4	48988824	49063301
DCUN1D4	4	52711931	52781569
LRRC66	4	52859933	52883681
SGCB	4	52887075	52903905
SPATA18	4	52919421	52963486
USP46	4	53457914	53524869
KIAA0114	4	53579353	53579412
RASL11B	4	53729457	53731792
SCFD2	4	53739718	54230213
FIP1L1	4	54245422	54325877
LNX1	4	54328066	54456193
RPL21P44	4	54852138	54852197
CHIC2	4	54877412	54929177
GSX2	4	54967293	54967343
PDGFRA	4	55095409	55164299
KIT	4	55525982	55606492
KDR	4	55944865	55989732
SRD5A3	4	56214582	56238205
LOC100506462	4	56239435	56250590
TMEM165	4	56263540	56291000
CLOCK	4	56300471	56411692
PDCL2	4	56422782	56457255
NMU	4	56461422	56501889
LOC644145	4	56687183	56703428
EXOC1	4	56722440	56770927
CEP135	4	56816264	56898073
KIAA1211	4	57037056	57194122
AASDH	4	57205972	57251757
PPAT	4	57262359	57300614
PAICS	4	57302758	57326733
SRP72	4	57334209	57367867
ARL9	4	57373284	57389861
HOPX	4	57514428	57546837
SPINK2	4	57677329	57686735
REST	4	57775895	57800037
C4orf14	4	57829686	57842295
POLR2B	4	57845690	57895987
IGFBP7	4	57897406	57975145
LOC255130	4	57977643	58070371
LPHN3	4	62362825	62937040
TECRL	4	65146773	65274927
LOC401134	4	65781873	65869742
EPHA5	4	66185665	66532541
LOC100144602	4	66536892	66558084
CENPC1	4	68339009	68410677
STAP1	4	68427241	68472016
UBA6	4	68482991	68566348
LOC550112	4	68568642	68584926
GNRHR	4	68603224	68620230
TMPRSS11D	4	68686697	68749685
TMPRSS11A	4	68776735	68829203
LOC644759	4	68859875	68861149
TMPRSS11F	4	68919079	68994828
FTLP10	4	69049160	69075353
TMPRSS11BNL	4	69078440	69083619
TMPRSS11B	4	69092624	69109329
YTHDC1	4	69178318	69215002
UGT2B17	4	69405968	69427276
UGT2B10	4	69686216	69883904
UGT2A3	4	69794963	69815721
UGT2B7	4	69963968	69976121
UGT2B11	4	70069969	70073981
UGT2B28	4	70156093	70156149
UGT2B4	4	70346121	70358835
UGT2A1	4	70454683	70512717
SULT1B1	4	70593396	70626222
SULT1E1	4	70706962	70723326
CSN1S1	4	70797214	70811552
CSN2	4	70821236	70825608
STATH	4	70862528	70867972
HTN3	4	70894916	70898858
HTN1	4	70917090	70920551
CSN1S2AP	4	70934951	70950984
CSN1S2BP	4	71000799	71009624
C4orf40	4	71020418	71031560
ODAM	4	71064124	71070267
C4orf7	4	71092967	71099867
CSN3	4	71108396	71117013
CABS1	4	71201902	71201961
SMR3A	4	71226621	71231658
SMR3B	4	71249535	71255961
PROL1	4	71263703	71275324
MUC7	4	71296272	71348208
AMTN	4	71384276	71398478
AMBN	4	71459032	71472643
ENAM	4	71502579	71511866
IGJ	4	71521396	71532246
UTP3	4	71555968	71556027
RUFY3	4	71572260	71672705
GRSF1	4	71682615	71704143
MOBKL1A	4	71769397	71852614
DCK	4	71860811	71895745
SLC4A4	4	72054657	72436482
GC	4	72608095	72669418
NPFFR2	4	72899240	73013520
ADAMTS3	4	73147706	73433538
COX18	4	73921634	73934910
ANKRD17	4	73941093	74123393
ALB	4	74272236	74285597
AFP	4	74301915	74319444
AFM	4	74347471	74369556
RASSF6	4	74442615	74484902
IL8	4	74606774	74608552
CXCL6	4	74703204	74703789
PF4	4	74846849	74846908
PPBP	4	74852894	74852953
CXCL5	4	74862821	74862880
CXCL3	4	74902343	74903424
PPBPL2	4	74920638	74920696
CXCL2	4	74963200	74963259
MTHFD2L	4	75024734	75168117
EPGN	4	75174370	75179103
EREG	4	75232300	75253958
BTC	4	75673187	75718419
PARM1	4	75858533	75973274
LOC441025	4	76281405	76284867
RCHY1	4	76404488	76438893
THAP6	4	76440790	76453612
C4orf26	4	76481897	76487982
CDKL2	4	76501906	76554244
G3BP2	4	76568137	76597548
USO1	4	76650862	76733882
PPEF2	4	76781697	76823454
NAAA	4	76833246	76860974
SDAD1	4	76872003	76911551
CXCL9	4	76924768	76927488
ART3	4	76933247	77033872
NUP54	4	77037777	77068487
SCARB2	4	77080083	77134392
FAM47E	4	77173500	77204407
STBD1	4	77229099	77231298
CCDC158	4	77235405	77324437
SHROOM3	4	77356718	77703935
ANKRD56	4	77817329	77817381
SEPT11	4	77872461	77958847
CCNI	4	77969305	77995421
CCNG2	4	78080175	78090277
CXCL13	4	78432906	78532204
CNOT6L	4	78636065	78740474
MRPL1	4	78783923	78873811
FRAS1	4	78979384	79464222
ANXA3	4	79473623	79531279
BMP2K	4	79698910	79831632
PAQR3	4	79840177	79859463
NAA11	4	80239485	80246677
GK2	4	80327877	80329164
GDEP	4	80749707	80782814
ANTXR2	4	80824323	80993209
PRDM8	4	81106445	81125104
FGF5	4	81189050	81211257
C4orf22	4	81256941	81884710
BMP3	4	81954654	81978577
PRKG2	4	82010051	82125786
RASGEF1B	4	82349843	82392533
HNRNPD	4	83274480	83293280
HNRPDL	4	83344628	83350941
ENOPH1	4	83352081	83382059
TMEM150C	4	83407681	83481260
C4orf11	4	83535216	83542372
SCD5	4	83550847	83717090
SEC31A	4	83740033	83811036
LOC100499177	4	83814784	83820898
THAP9	4	83823817	83839987
LIN54	4	83847470	83933208
COPS4	4	83957219	83996869
PLAC8	4	84013712	84032823
COQ2	4	84185101	84204705
HPSE	4	84214827	84255108
HELQ	4	84328736	84374586
MRPS18C	4	84377457	84382659
FAM175A	4	84384022	84405502
AGPAT9	4	84458211	84526966
NKX6-1	4	85415587	85417433
CDS1	4	85505273	85571607
WDFY3	4	85590841	85886673
NCRNA00247	4	85888716	85928036
ARHGAP24	4	86396580	86923300
MAPK10	4	86937696	87373809
PTPN13	4	87516668	87735656
SLC10A6	4	87746010	87769729
C4orf36	4	87797383	87812937
AFF1	4	87856732	88059630
KLHL8	4	88084412	88140720
HSD17B13	4	88225613	88243825
HSD17B11	4	88258342	88310875
NUDT9	4	88344357	88378980
SPARCL1	4	88394797	88450323
DSPP	4	88529700	88537756
DMP1	4	88571453	88584658
IBSP	4	88721928	88733517
MEPE	4	88743413	88767921
SPP1	4	88900063	88904044
PKD2	4	88929841	88998904
ABCG2	4	89011519	89079428
PPM1K	4	89181676	89205560
HERC6	4	89300559	89363520
HERC5	4	89379146	89426930
PIGY	4	89442127	89443504
HERC3	4	89514075	89628558
FAM13AOS	4	89631040	89650899
FAM13A	4	89654993	89978222
TIGD2	4	90035158	90035217
GPRIN3	4	90167257	90228206
SNCA	4	90645738	90758891
MMRN1	4	90816691	90874387
FAM190A	4	91050731	92520873
GRID2	4	93226186	94693423
ATOH1	4	94751096	94751141
SMARCAD1	4	95128822	95210716
HPGDS	4	95220436	95262619
PDLIM5	4	95375813	95588144
BMPR1B	4	95680589	96079349
UNC5C	4	96083976	96469135
PDHA2	4	96761384	96762549
C4orf37	4	98480065	99063492
RAP1GDS1	4	99184633	99363870
TSPAN5	4	99391508	99579360
EIF4E	4	99803663	99850804
METAP1	4	99919040	99982761
ADH5	4	99993581	100008716
LOC100507053	4	100010129	100222015
ADH1B	4	100228694	100242071
ADH1C	4	100258672	100273388
ADH7	4	100333753	100354366
C4orf17	4	100433968	100461598
RG9MTD2	4	100470204	100483661
MTTP	4	100485763	100544653
DAPP1	4	100739283	100787847
LAMTOR3	4	100799681	100814521
DNAJB14	4	100822579	100867010
H2AFZ	4	100869793	100869852
LOC256880	4	100872367	100872426
DDIT4L	4	101107899	101110001
EMCN	4	101316805	101439068
PPP3CA	4	101944715	102267478
FLJ20021	4	102269994	102270053
BANK1	4	102713143	102995306
SLC39A8	4	103173460	103264279
NFKB1	4	103424417	103536839
MANBA	4	103554681	103681501
UBE2D3	4	103719546	103789922
CISD2	4	103792064	103806818
NHEDC1	4	103867350	103939304
NHEDC2	4	103947537	103996293
BDH2	4	104001734	104020859
CENPE	4	104027285	104118000
TACR3	4	104512614	104640230
CXXC4	4	105394080	105412394
TET2	4	106068287	106199954
PPA2	4	106290758	106393731
ARHGEF38	4	106473968	106552160
INTS12	4	106605965	106628465
GSTCD	4	106631950	106768585
NPNT	4	106818278	106892598
TBCK	4	106969058	107235630
AIMP1	4	107237954	107269553
LOC100507096	4	107279641	107287457
DKK2	4	107844011	107956237
PAPSS1	4	108535203	108640463
SGMS2	4	108746998	108834943
CYP2U1	4	108853721	108873491
HADH	4	108911755	108955084
LEF1	4	108969389	109089539
LOC641518	4	109091513	109096137
LOC285456	4	109460889	109541028
RPL34	4	109542385	109551607
OSTC	4	109572534	109588419
AGXT2L1	4	109663277	109682908
COL25A1	4	109735037	110221816
SEC24B	4	110356600	110461040
CCDC109B	4	110483858	110608636
CASP6	4	110610052	110624136
PLA2G12A	4	110632253	110649881
CFI	4	110663668	110723211
GAR1	4	110737249	110744783
RRH	4	110749238	110765468
LRIT3	4	110772587	110792035
EGF	4	110834202	110932659
ELOVL6	4	110970511	111119550
ENPEP	4	111397487	111483829
PITX2	4	111538691	111562366
C4orf32	4	113067672	113109229
AP1AR	4	113154049	113190885
TIFA	4	113198988	113206524
ALPK1	4	113218652	113362290
NEUROG2	4	113435319	113436658
C4orf21	4	113460839	113557755
LARP7	4	113558441	113578737
ANK2	4	113739619	114304754
CAMK2D	4	114374031	114681285
ARSJ	4	114822723	114900332
UGT8	4	115519935	115597726
NDST4	4	115751810	116034690
TRAM1L1	4	118005405	118005464
NDST3	4	118956105	119177022
PRSS12	4	119201733	119273023
CEP170P1	4	119441356	119473562
METTL14	4	119607521	119632029
SEC24D	4	119644417	119756750
SYNPO2	4	119811081	119980349
MYOZ2	4	120057666	120108472
USP53	4	120136208	120215379
C4orf3	4	120218394	120223102
FABP2	4	120240141	120241913
LOC645513	4	120390449	120419555
PDE5A	4	120422256	120549528
MAD2L1	4	120980576	120986846
PRDM5	4	121616153	121843078
C4orf31	4	121957413	121993193
TNIP3	4	122053528	122137300
QRFPR	4	122250778	122302088
ANXA5	4	122589214	122615526
TMEM155	4	122680210	122685674
EXOSC9	4	122723801	122737578
CCNA2	4	122739272	122743572
BBS7	4	122746386	122791483
TRPC3	4	122801301	122870438
KIAA1109	4	123093026	123283775
ADAD1	4	123300208	123350180
IL2	4	123373579	123376054
IL21	4	123534022	123541020
CETN4P	4	123652590	123652649
BBS12	4	123655749	123665196
FGF2	4	123749298	123818854
NUDT6	4	123820621	123844000
SPATA5	4	123845252	124239286
SPRY1	4	124319298	124324242
LOC285419	4	124576603	124845601
ANKRD50	4	125586403	125633695
FAT4	4	126238947	126413958
INTU	4	128554855	128637542
SLC25A31	4	128653797	128694597
HSPA4L	4	128705411	128753200
PLK4	4	128803130	128820193
MFSD8	4	128839094	128884292
C4orf29	4	128887594	128949664
LARP1B	4	128983819	129131300
PGRMC2	4	129191619	129207646
PHF17	4	129731398	129793785
SCLT1	4	129805490	130012432
C4orf33	4	130015010	130032830
PCDH10	4	134072499	134111432
PABPC4L	4	135118243	135120497
PCDH18	4	138441850	138451737
LOC641365	4	138950906	139051611
SLC7A11	4	139087154	139163316
CCRN4L	4	139937627	139966060
ELF2	4	139981419	140060621
C4orf49	4	140187593	140200019
NDUFC1	4	140211404	140222032
NAA15	4	140223742	140311602
RAB33B	4	140375952	140394525
SETD7	4	140427323	140476315
MGST2	4	140587780	140661829
MAML3	4	140663032	141074868
SCOC	4	141180886	141302932
CLGN	4	141309873	141347549
ELMOD2	4	141446601	141473631
UCP1	4	141481076	141488452
TBC1D9	4	141542665	141676597
RNF150	4	141787791	142053925
ZNF330	4	142143472	142155315
IL15	4	142558600	142654117
